ID,Category,Feature,Status,Usage and limitations,Sources,Commit,Reviewed on
A01,📝 Authoring and sharing workflows,Declarative .bot workflows,Documented,"Define agents, tools, data and transitions in a versionable file. A deterministic graph does not make LLM responses identical.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A02,📝 Authoring and sharing workflows,Synchronized visual and source editors,Documented,"Canvas, node library, inspector, live validation, undo and redo.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/visual-editor.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A03,📝 Authoring and sharing workflows,Guided bot creation,Documented,"Starter templates, mission form, parameters and a first run; equivalent creation through the CLI.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/visual-editor.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A04,📝 Authoring and sharing workflows,Portable .botz bundles,Documented,"Deterministic ZIP archive containing the workflow, prompts, skills, attachments and manifest; supports declaring a minimum engine version.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/bundles.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A05,📝 Authoring and sharing workflows,"Reusable variables, presets and prompts",Documented,Parameterize a method at launch and distribute specializations without copying the entire workflow.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/bundles.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A06,📝 Authoring and sharing workflows,Team bot editing,Documented,"Create, duplicate and edit bundle files in cloud Studio, with conflict checks on save.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/visual-editor.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A07,📝 Authoring and sharing workflows,Importing an existing Claude workflow,Conditional / limited,"Static converter from Claude JavaScript files to a .bot draft, with a report of unsupported elements. Does not import n8n workflows.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/import.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A08,📝 Authoring and sharing workflows,Schemas and static diagnostics,Documented,"Validate references, properties and graph/data-flow constraints before execution. General node-output schema validation is an engine option, not enabled by product entry points in this build; compute outputs are checked separately.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runtime/node_output.go ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runtime/special_node.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A09,📝 Authoring and sharing workflows,Mermaid diagram export,Documented,"Generate a compact, detailed or full workflow diagram for documentation and review.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/cli-reference.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O01,"🔀 Orchestrating agents, code and events",Explicit agents and judges,Documented,"Separate production from evaluation in the graph; a judge is a configurable LLM evaluation, not proof of correctness.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O02,"🔀 Orchestrating agents, code and events",Deterministic tools and scripts,Documented,"Command nodes or JavaScript, Python and shell/Bash scripts, with stdout capture and error handling.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O03,"🔀 Orchestrating agents, code and events",Computation without a model or shell,Documented,"The compute node provides bounded expressions, transformations, map/filter/reduce and typed outputs.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O04,"🔀 Orchestrating agents, code and events","Conditional, LLM and round-robin routing",Documented,"Select a branch using rules, a model decision or a declared rotation.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/routers.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O05,"🔀 Orchestrating agents, code and events",Parallel branches and result collection,Conditional / limited,"fan_out_all, fan_out_each, with wait_all or best_effort collection; concurrent workspace writes are restricted.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/routers.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/groups-iteration-subbots.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O06,"🔀 Orchestrating agents, code and events","Bounded, data-driven loops and ordered iteration",Documented,"Fixed or data-resolved bounds, foreach, and explicit unbounded loops governed by fuel and a stagnation monitor. Empty foreach input requires a guard if its body must never run.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/groups-iteration-subbots.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runtime/engine_resolve.go ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runtime/edges.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O07,"🔀 Orchestrating agents, code and events",Reusable parameterized groups,Documented,Declare a subgraph and instantiate it with distinct parameters and prefixes.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/groups-iteration-subbots.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
