ID,Famille,Fonctionnalité,Statut,Usage et limites,Sources,Commit,Date de lecture
A01,📝 Concevoir et partager une méthode,Workflows déclaratifs .bot,Documenté,"Décrire agents, outils, données et transitions dans un fichier versionnable. Le déterminisme du graphe ne rend pas les réponses LLM identiques.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A02,📝 Concevoir et partager une méthode,Éditeur visuel et source synchronisés,Documenté,"Canvas, bibliothèque de nœuds, inspecteur, validation en direct, annulation et rétablissement.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/visual-editor.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A03,📝 Concevoir et partager une méthode,Création guidée de bots,Documenté,"Modèles de départ, formulaire de mission, paramètres et premier essai ; création équivalente par CLI.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/visual-editor.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A04,📝 Concevoir et partager une méthode,Bundles portables .botz,Documenté,"Archive ZIP déterministe réunissant workflow, prompts, skills, pièces jointes et manifeste ; version minimale du moteur déclarable.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/bundles.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A05,📝 Concevoir et partager une méthode,"Variables, presets et prompts réutilisables",Documenté,Paramétrer une même méthode au lancement et distribuer des spécialisations sans copier tout le workflow.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/bundles.md https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A06,📝 Concevoir et partager une méthode,Édition des bots d’équipe,Documenté,"Créer, dupliquer et modifier les fichiers d’un bundle dans le Studio cloud ; contrôle des conflits à l’enregistrement.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/visual-editor.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A07,📝 Concevoir et partager une méthode,Import d’un workflow Claude existant,Conditionnel / limité,"Convertisseur statique de fichiers JavaScript Claude vers un brouillon .bot, avec rapport des éléments non convertis. Ce n’est pas un import n8n.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/import.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A08,📝 Concevoir et partager une méthode,Schémas et diagnostics statiques,Documenté,"Valider références, propriétés, données et contraintes de graphe avant exécution ; les sorties typées restent à vérifier sur le fond.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
A09,📝 Concevoir et partager une méthode,Export de diagramme Mermaid,Documenté,"Produire une représentation du workflow en vue compacte, détaillée ou complète pour la documentation et la revue.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/cli-reference.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
O01,"🔀 Orchestrer agents, code et événements",Agents et juges explicites,Documenté,"Distinguer production et évaluation dans le graphe ; un juge est une évaluation LLM configurable, pas une preuve de justesse.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
